place_id,name,formatted_address,website_url,website_domain,maps_url,best_email,email_type,source_url,verification_status,verification_sub_status,confidence_score,candidates_found,notes,processed_at
ChIJMy2jyix62EcR-R3_yRLIK7I,'DoLittle' Pets and Supplies,"sutton green garden centre, Whitmoor Ln, Sutton Green, Guildford GU4 7QB",https://www.dolittlepetsupplies.co.uk/,dolittlepetsupplies.co.uk,https://maps.google.com/?cid=12838575145773637113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,donate@opencart.com,unknown,https://www.dolittlepetsupplies.co.uk/,unknown,,54,1,ok,2026-03-04T23:33:40.068Z
ChIJ1zdfWMh5fkgRYkOyax3-hQA,(Michelle) Smith’s pet supplies,"62 Front St, Stanley DH9 0HU",,,https://maps.google.com/?cid=37715574216868706&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,unknown,,0,0,no_email_found,2026-03-04T23:33:37.627Z
ChIJ5ZGpllKBfkgRnWqeKawsWuo,2 by 2 Pet Store,"14 Clyde Terrace, Spennymoor DL16 7SE",https://2by2petstore.com/,2by2petstore.com,https://maps.google.com/?cid=16886858870723340957&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,unknown,,0,0,no_email_found,2026-03-04T23:33:38.718Z
ChIJ0314zAlddEgRoNz1L7NzpoA,311 Taylors Marine Room Aquatic Specialists,"Jordan Court, 311A Arundel St, Portsmouth PO1 1NJ",,,https://maps.google.com/?cid=9270224096429726880&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,unknown,,0,0,no_email_found,2026-03-04T23:33:37.630Z
ChIJn--GWy3_eUgR2Et1QqSyiaE,365 Bargains Ltd - Swadlincote,"8 Midland Rd, Swadlincote DE11 0AN",,,https://maps.google.com/?cid=11640031130475121624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,unknown,,0,0,no_email_found,2026-03-04T23:33:37.630Z
ChIJo7B5rZ2FdUgRG6N-6e76Jsw,A Coombs Pet Centre (Brighton),"19-21 Baker St, Brighton and Hove, Brighton BN1 4JN",http://www.acoombs.co.uk/,acoombs.co.uk,https://maps.google.com/?cid=14710721136878854939&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,inspections@vmd.gov.uk,unknown,http://www.acoombs.co.uk/,unknown,,54,1,ok,2026-03-04T23:33:40.278Z
ChIJO0iOXrKadUgRYpmpVS5nGzo,A Coombs Pet Centre (Hove),"155-157 Portland Rd, Brighton and Hove, Hove BN3 5QJ",https://www.acoombs.co.uk/,acoombs.co.uk,https://maps.google.com/?cid=4187053727274342754&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,inspections@vmd.gov.uk,unknown,https://www.acoombs.co.uk/,unknown,,54,1,ok,2026-03-04T23:33:39.787Z
ChIJ09tYy5gcdkgRxh_boG6RCCA,A FURRY WORLD,"124 City Rd, London EC1V 2NX",http://www.afurryworld.com/,afurryworld.com,https://maps.google.com/?cid=2308254713358524358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,info@afurryworld.com,info,http://www.afurryworld.com/,unknown,,60,1,ok,2026-03-04T23:33:39.736Z
ChIJW5LvY4Fie0gR5svl7AxkKp4,A.J. Exotics & Pet Supplies,"122 Ullswater Rd, Lancaster LA1 3PX",http://www.facebook.com/ajpetsupplieslancaster,facebook.com,https://maps.google.com/?cid=11397031813691329510&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,unknown,,0,0,no_email_found,2026-03-04T23:33:39.614Z
ChIJi9S5Z9Gj2UcRjuch_Wyk8L0,Abbey Aquatics & Reptiles ltd,"Woodfarm business centre, Crowfield Rd, Ipswich IP6 9TH",https://www.abbeyreptiles.co.uk/,abbeyreptiles.co.uk,https://maps.google.com/?cid=13686620055589218190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,unknown,,0,0,no_email_found,2026-03-04T23:33:39.965Z
